[4] Table 5-24

0x00	Invalid
0x01	Unassigned
0x02-04	Linked Comm-B, segments 2-4
0x05	ES ‐ airborne position
0x06	ES ‐ surface position
0x07	ES ‐ status
0x08	ES ‐ identification
0x09	ES ‐ airbonre velocity
0x0A	ES ‐ event-driven info
0x0B	Air-air info ‐ state
0x0C	Air-air info ‐ intent
0x0D-0E	Reserved, air-air info
0x0F	Reserved, ACAS
0x10	Datalink capabilities
0x11-16	Reserved, DLC
0x17	GICB capabilities
0x18-1F	Mode S service capabilities
0x20	Identification
0x21	Registration markings
0x22	Antenna positions
0x23	Reserved, antenna
0x24	Reserved, aircraft parameters
0x26-2F	Unassigned
0x30	ACAS active RA
0x31-3F	Unassigned
0x40	Vertical intention
0x41	Next waypoint identifier
0x42	Next waypoint position
0x43	Next waypoint info
0x44	Mete. routine air report
0x45	Mete. hazard report
0x46-47	Reserved, flight management
0x48	VHF
0x49-4F	Unassigned
0x50	Track and turn
0x51	Coarse pos.
0x52	Fine pos.
0x53	Air-ref. state vector
0x54-56	Waypoints, 1-3
0x57-5E	Unassigned
0x5F	Quasi-static parameters
0x60	Heading / speed
0x61	ES ‐ Emergency
0x62	(Prop.) Target state and status
0x62	(Depr.) Current trajectory change point
0x63	(Depr.) Next TCP
0x64	(Depr.) Coordination msg
0x65	Aircraft operational status
0x66-E2	Reserved / Unassigned
0xE3	Transponder hardware
0xE4	Transponder software
0xE5	ACAS hardware
0xE6	ACAS software
0xE7-F0	Unassigned
0xF1-F2	Military
0xF3-FF	Unassigned
